OrderID,CustomerOrderSatisfaction,OrderPriority,PaymentMethod_PayPal
536370,3.0,3,False
536370,3.0,3,False
536370,3.0,3,False
536370,3.0,3,False
536370,3.0,3,False
536370,3.0,3,False
536370,3.0,3,False
536370,3.0,3,False
536370,3.0,3,False
536370,3.0,3,False
536370,3.0,3,False
536370,3.0,3,False
536370,3.0,3,False
536370,3.0,3,False
536370,3.0,3,False
536370,3.0,3,False
536370,3.0,3,False
536370,3.0,3,False
536370,3.0,3,False
536852,3.0,3,True
536852,3.0,3,True
536852,3.0,3,True
536852,3.0,3,True
536852,3.0,3,True
536852,3.0,3,True
536974,1.0,2,False
536974,1.0,2,False
536974,1.0,2,False
536974,1.0,2,False
536974,1.0,2,False
536974,1.0,2,False
536974,1.0,2,False
536974,1.0,2,False
536974,1.0,2,False
536974,1.0,2,False
536974,1.0,2,False
536974,1.0,2,False
536974,1.0,2,False
536974,1.0,2,False
536974,1.0,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537065,,2,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537463,1.0,3,False
537468,4.0,2,False
537468,4.0,2,False
537468,4.0,2,False
537468,4.0,2,False
537468,4.0,2,False
537468,4.0,2,False
537468,4.0,2,False
537468,4.0,2,False
537468,4.0,2,False
537468,4.0,2,False
537468,4.0,2,False
537468,4.0,2,False
537468,4.0,2,False
537468,4.0,2,False
537468,4.0,2,False
537468,4.0,2,False
537468,4.0,2,False
537468,4.0,2,False
537468,4.0,2,False
537693,1.0,2,False
537693,1.0,2,False
537693,1.0,2,False
537693,1.0,2,False
537693,1.0,2,False
537693,1.0,2,False
537693,1.0,2,False
537693,1.0,2,False
537693,1.0,2,False
537693,1.0,2,False
537897,1.0,2,True
537897,1.0,2,True
537897,1.0,2,True
537897,1.0,2,True
537897,1.0,2,True
537897,1.0,2,True
537897,1.0,2,True
537897,1.0,2,True
537897,1.0,2,True
537897,1.0,2,True
537897,1.0,2,True
537897,1.0,2,True
537967,4.0,3,True
537967,4.0,3,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538008,3.0,2,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538093,3.0,3,True
538196,,3,True
538196,,3,True
538196,,3,True
538196,,3,True
538196,,3,True
538196,,3,True
538196,,3,True
538196,,3,True
538196,,3,True
538196,,3,True
538196,,3,True
538196,,3,True
538196,,3,True
538196,,3,True
538196,,3,True
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539050,2.0,3,False
539113,3.0,2,True
539407,1.0,3,False
539407,1.0,3,False
539407,1.0,3,False
539407,1.0,3,False
539407,1.0,3,False
539435,,2,True
539435,,2,True
539435,,2,True
539435,,2,True
539551,4.0,3,False
539551,4.0,3,False
539551,4.0,3,False
539551,4.0,3,False
539551,4.0,3,False
539551,4.0,3,False
539551,4.0,3,False
539551,4.0,3,False
539551,4.0,3,False
539551,4.0,3,False
539551,4.0,3,False
539551,4.0,3,False
539551,4.0,3,False
539551,4.0,3,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539607,2.0,2,False
539727,2.0,3,False
539727,2.0,3,False
539727,2.0,3,False
539829,,2,False
539829,,2,False
539829,,2,False
539829,,2,False
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540178,4.0,2,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540239,4.0,3,True
540351,2.0,3,True
540351,2.0,3,True
540351,2.0,3,True
540351,2.0,3,True
540351,2.0,3,True
540351,2.0,3,True
540351,2.0,3,True
540351,2.0,3,True
540351,2.0,3,True
540351,2.0,3,True
540351,2.0,3,True
540351,2.0,3,True
540351,2.0,3,True
540351,2.0,3,True
540351,2.0,3,True
540351,2.0,3,True
540351,2.0,3,True
540351,2.0,3,True
540351,2.0,3,True
540351,2.0,3,True
540351,2.0,3,True
540365,3.0,2,True
540365,3.0,2,True
540365,3.0,2,True
540365,3.0,2,True
540365,3.0,2,True
540365,3.0,2,True
540365,3.0,2,True
540365,3.0,2,True
540365,3.0,2,True
540365,3.0,2,True
540365,3.0,2,True
540365,3.0,2,True
540365,3.0,2,True
540365,3.0,2,True
540365,3.0,2,True
540365,3.0,2,True
540365,3.0,2,True
540365,3.0,2,True
540365,3.0,2,True
540365,3.0,2,True
540365,3.0,2,True
540365,3.0,2,True
540365,3.0,2,True
540455,4.0,3,True
540455,4.0,3,True
540455,4.0,3,True
540455,4.0,3,True
540455,4.0,3,True
540455,4.0,3,True
540455,4.0,3,True
